                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9026,                 5.3792,                 2.2992,                0.47505,                0.25766,                0.22647,                0.13649,                  2.675,                 3.1472,                  2.306,             0.00013254,             0.00013254,             0.00013254
                      2,                 2.8885,                 3.3865,                 2.3409,                0.53328,                0.30725,                0.26737,                0.15691,                 2.8728,                 3.1192,                 2.4601,             0.00026456,             0.00026456,             0.00026456
                      3,                 2.9309,                 3.1126,                 2.3866,                0.55926,                0.30753,                0.30619,                0.18174,                 2.7236,                 2.8583,                  2.453,             0.00039526,             0.00039526,             0.00039526
                      4,                 2.9033,                 2.9561,                  2.353,                0.59008,                0.31714,                0.33489,                0.20017,                 2.7215,                 2.8403,                 2.4293,             0.00039406,             0.00039406,             0.00039406
                      5,                 2.8973,                 2.8552,                 2.3503,                0.61968,                0.33584,                0.34751,                0.21199,                 2.6885,                 2.6807,                 2.3714,             0.00039208,             0.00039208,             0.00039208
                      6,                 2.8518,                  2.735,                 2.3299,                0.55196,                0.39117,                 0.3633,                0.21647,                 2.7805,                 2.6538,                 2.4272,              0.0003901,              0.0003901,              0.0003901
                      7,                  2.792,                 2.6687,                 2.3112,                 0.6506,                0.35266,                0.37546,                0.22502,                  2.733,                 2.6325,                 2.4045,             0.00038812,             0.00038812,             0.00038812
                      8,                 2.7694,                 2.5759,                 2.2819,                 0.6538,                0.37104,                0.38501,                0.22526,                 2.7271,                  2.595,                 2.3916,             0.00038614,             0.00038614,             0.00038614
                      9,                 2.7388,                  2.521,                 2.2724,                0.60237,                0.38351,                0.40106,                 0.2406,                 2.7094,                 2.5356,                 2.3739,             0.00038416,             0.00038416,             0.00038416
                     10,                  2.766,                 2.4719,                  2.272,                0.69197,                0.36198,                0.41019,                 0.2571,                  2.655,                 2.4947,                 2.3582,             0.00038218,             0.00038218,             0.00038218
                     11,                  2.684,                 2.3758,                 2.2373,                0.55831,                0.41259,                0.39906,                0.23973,                 2.7221,                  2.502,                  2.394,              0.0003802,              0.0003802,              0.0003802
                     12,                 2.7226,                   2.36,                 2.2358,                0.57146,                0.36064,                0.40449,                0.24517,                 2.6601,                 2.5085,                 2.3755,             0.00037822,             0.00037822,             0.00037822
