                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2347,                  8.629,                 2.2826,                0.63867,                0.09249,                0.06336,                 0.0401,                 3.1591,                 5.5954,                 2.2965,             0.00013254,             0.00013254,             0.00013254
                      2,                 3.2712,                  6.226,                 2.3436,                0.49483,                 0.1207,                0.09712,                0.05837,                 2.9761,                 4.6927,                 2.3026,             0.00026456,             0.00026456,             0.00026456
                      3,                  3.205,                  5.455,                 2.3403,                0.40298,                 0.1458,                0.12438,                0.07237,                 2.9996,                 4.3542,                 2.3375,             0.00039526,             0.00039526,             0.00039526
                      4,                 3.1807,                 5.0626,                 2.3196,                0.35161,                 0.1609,                0.13598,                 0.0783,                  3.017,                 4.1344,                 2.3162,             0.00039406,             0.00039406,             0.00039406
                      5,                 3.1807,                 4.7826,                 2.3196,                 0.4016,                0.18353,                0.17843,                0.11456,                 2.8913,                  3.895,                 2.2872,             0.00039208,             0.00039208,             0.00039208
                      6,                 3.1389,                 4.5247,                 2.3035,                0.38397,                 0.1944,                0.17188,                0.10585,                 2.9029,                 3.7942,                 2.2769,              0.0003901,              0.0003901,              0.0003901
                      7,                 3.0854,                 4.3679,                 2.2919,                0.37871,                0.22884,                0.20476,                0.12768,                 2.9754,                 3.8521,                 2.2827,             0.00038812,             0.00038812,             0.00038812
                      8,                 3.0742,                 4.1754,                  2.265,                0.47662,                0.21894,                0.22135,                0.14242,                 2.8889,                 3.5984,                 2.2671,             0.00038614,             0.00038614,             0.00038614
                      9,                 3.0612,                 4.0492,                 2.2691,                0.49179,                0.22343,                0.20495,                0.12199,                 2.8919,                 3.5857,                 2.2561,             0.00038416,             0.00038416,             0.00038416
                     10,                  3.093,                 3.9504,                 2.2716,                0.54276,                0.23058,                0.20585,                0.12437,                  2.909,                  3.508,                 2.2674,             0.00038218,             0.00038218,             0.00038218
                     11,                 3.0333,                 3.8379,                 2.2522,                0.55259,                0.21977,                0.21416,                 0.1267,                 2.9966,                 3.4997,                 2.3175,              0.0003802,              0.0003802,              0.0003802
                     12,                 3.0779,                 3.7891,                   2.26,                0.41288,                0.23254,                0.22647,                0.13856,                 2.8609,                 3.4133,                 2.2557,             0.00037822,             0.00037822,             0.00037822
                     13,                 3.0259,                 3.6936,                 2.2527,                0.57885,                0.22896,                0.23118,                0.13396,                 2.9875,                 3.4667,                 2.2832,             0.00037624,             0.00037624,             0.00037624
                     14,                 3.0261,                 3.6203,                 2.2343,                0.56849,                0.24556,                0.23647,                0.14148,                 2.8697,                 3.4147,                 2.2608,             0.00037426,             0.00037426,             0.00037426
                     15,                 3.0056,                 3.5434,                 2.2479,                0.49123,                0.28022,                0.24553,                0.14564,                 2.9043,                 3.3751,                 2.2888,             0.00037228,             0.00037228,             0.00037228
                     16,                 3.0112,                 3.5067,                 2.2356,                0.60595,                0.23116,                0.24729,                0.14958,                  2.869,                 3.3986,                 2.2652,              0.0003703,              0.0003703,              0.0003703
                     17,                 2.9898,                 3.4459,                 2.2321,                0.52884,                0.24902,                 0.2562,                0.15345,                 2.8759,                 3.2799,                 2.2332,             0.00036832,             0.00036832,             0.00036832
                     18,                 2.9815,                 3.4246,                  2.224,                0.57746,                0.27485,                0.25848,                 0.1567,                 2.8673,                 3.3901,                 2.2385,             0.00036634,             0.00036634,             0.00036634
                     19,                 2.9623,                  3.372,                 2.2189,                 0.5905,                0.25836,                0.26357,                 0.1589,                 2.8713,                 3.2365,                 2.2651,             0.00036436,             0.00036436,             0.00036436
                     20,                  2.967,                 3.3273,                 2.2043,                0.51866,                0.26767,                 0.2609,                0.15553,                 2.8843,                 3.2549,                 2.2503,             0.00036238,             0.00036238,             0.00036238
                     21,                 2.9499,                 3.2861,                 2.2079,                 0.5085,                  0.268,                0.26554,                 0.1646,                 2.8395,                 3.2544,                 2.2183,              0.0003604,              0.0003604,              0.0003604
                     22,                 2.9642,                 3.3014,                 2.2153,                0.58213,                0.27349,                0.28573,                0.17462,                 2.8898,                 3.2514,                 2.2485,             0.00035842,             0.00035842,             0.00035842
                     23,                 2.9614,                 3.2668,                 2.2006,                 0.5179,                0.26409,                0.27084,                0.16381,                 2.9025,                 3.2157,                 2.2459,             0.00035644,             0.00035644,             0.00035644
                     24,                 2.9695,                 3.1987,                 2.1904,                0.49433,                0.28803,                0.27733,                0.16768,                 2.8622,                 3.2077,                 2.2223,             0.00035446,             0.00035446,             0.00035446
                     25,                 2.9401,                 3.1803,                 2.1923,                 0.5777,                0.27916,                0.30512,                0.18957,                 2.8849,                 3.2382,                 2.2464,             0.00035248,             0.00035248,             0.00035248
                     26,                 2.9443,                 3.1805,                 2.1935,                0.56807,                0.30829,                0.30573,                0.19108,                 2.8979,                 3.2142,                 2.2518,              0.0003505,              0.0003505,              0.0003505
                     27,                 2.9188,                 3.1338,                 2.1744,                0.56635,                0.31008,                0.31856,                0.19763,                 2.8546,                 3.1532,                  2.221,             0.00034852,             0.00034852,             0.00034852
                     28,                 2.9428,                   3.12,                 2.1872,                 0.5606,                0.31537,                0.31383,                 0.1979,                 2.8953,                 3.1941,                 2.2396,             0.00034654,             0.00034654,             0.00034654
                     29,                 2.9233,                  3.107,                 2.1809,                0.51652,                0.33384,                0.31374,                0.19936,                  2.865,                 3.1694,                 2.2249,             0.00034456,             0.00034456,             0.00034456
                     30,                 2.9181,                 3.0933,                 2.1816,                0.58898,                0.32402,                0.31711,                0.19893,                 2.8485,                 3.1603,                 2.2281,             0.00034258,             0.00034258,             0.00034258
                     31,                 2.8996,                 3.0802,                 2.1767,                0.57969,                0.31552,                0.32128,                0.19873,                 2.9169,                 3.1483,                  2.242,              0.0003406,              0.0003406,              0.0003406
                     32,                 2.9182,                 3.0568,                 2.1811,                0.51388,                0.33183,                0.33031,                0.21225,                 2.8102,                 3.1394,                 2.2125,             0.00033862,             0.00033862,             0.00033862
                     33,                 2.9068,                 3.0373,                 2.1765,                0.57119,                0.32755,                0.32518,                0.20352,                 2.8227,                 3.1258,                 2.2102,             0.00033664,             0.00033664,             0.00033664
                     34,                 2.8971,                 3.0142,                 2.1654,                0.54898,                0.30906,                0.32659,                0.20706,                 2.8368,                 3.1005,                 2.2127,             0.00033466,             0.00033466,             0.00033466
                     35,                 2.8685,                 2.9729,                 2.1666,                0.60966,                0.32501,                0.33745,                0.20805,                 2.8437,                 3.0531,                 2.2156,             0.00033268,             0.00033268,             0.00033268
                     36,                 2.8838,                  2.984,                 2.1644,                0.58619,                0.31903,                0.32833,                0.20719,                 2.8337,                  3.096,                 2.2005,              0.0003307,              0.0003307,              0.0003307
                     37,                 2.8832,                 2.9491,                 2.1628,                0.58034,                0.32965,                0.32905,                 0.2034,                 2.8942,                 3.1372,                 2.2273,             0.00032872,             0.00032872,             0.00032872
                     38,                 2.8953,                 2.9621,                 2.1521,                0.59762,                0.32082,                0.32924,                 0.2058,                  2.863,                 3.1376,                 2.2118,             0.00032674,             0.00032674,             0.00032674
                     39,                 2.9043,                 2.9495,                   2.16,                0.57612,                0.32169,                0.33687,                0.21042,                 2.8135,                 3.0872,                 2.2009,             0.00032476,             0.00032476,             0.00032476
                     40,                 2.8773,                 2.9244,                 2.1536,                0.58231,                 0.3227,                0.33853,                0.21004,                 2.9117,                 3.1161,                 2.2266,             0.00032278,             0.00032278,             0.00032278
                     41,                 2.8604,                 2.9006,                 2.1536,                0.64431,                0.29054,                 0.3305,                0.20488,                 2.8451,                 3.0693,                 2.2102,              0.0003208,              0.0003208,              0.0003208
                     42,                 2.8653,                 2.9176,                 2.1516,                0.61333,                0.31035,                0.33963,                0.21477,                 2.8139,                 3.0714,                 2.1941,             0.00031882,             0.00031882,             0.00031882
                     43,                 2.8768,                 2.8871,                 2.1425,                0.55845,                0.33552,                0.34134,                0.21374,                 2.8478,                 3.0476,                 2.2084,             0.00031684,             0.00031684,             0.00031684
                     44,                 2.8669,                 2.8826,                  2.154,                0.57709,                0.31438,                0.33826,                 0.2113,                 2.8274,                 3.0081,                 2.1987,             0.00031486,             0.00031486,             0.00031486
                     45,                 2.8743,                 2.8592,                 2.1372,                0.55732,                0.33438,                0.34392,                0.21509,                 2.8982,                  3.057,                 2.2365,             0.00031288,             0.00031288,             0.00031288
                     46,                 2.8386,                 2.8423,                 2.1365,                0.63261,                0.31516,                0.35216,                0.22088,                 2.8319,                 3.0113,                 2.1917,              0.0003109,              0.0003109,              0.0003109
