                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0976,                 6.7312,                 2.2959,                0.52941,                0.21924,                0.18958,                0.11413,                 2.9018,                 3.6268,                 2.2675,             0.00013254,             0.00013254,             0.00013254
                      2,                 2.9901,                 3.9073,                 2.2817,                  0.388,                0.24116,                0.23309,                0.13386,                 2.7597,                 3.3992,                 2.2599,             0.00026456,             0.00026456,             0.00026456
                      3,                 3.0118,                 3.5258,                 2.3032,                0.43853,                0.26773,                0.25813,                0.15617,                 2.8319,                 3.1543,                 2.3063,             0.00039526,             0.00039526,             0.00039526
                      4,                 2.9945,                 3.3357,                 2.2744,                0.63004,                0.25324,                0.26953,                0.15729,                 2.8965,                 3.1335,                 2.3061,             0.00039406,             0.00039406,             0.00039406
                      5,                 2.9903,                  3.183,                 2.2733,                0.48887,                 0.3401,                0.29753,                0.17775,                 2.7456,                 3.0402,                 2.2633,             0.00039208,             0.00039208,             0.00039208
                      6,                 2.9547,                 3.0317,                 2.2592,                0.61796,                0.29315,                0.29725,                0.17867,                 2.7978,                 2.9275,                 2.2665,              0.0003901,              0.0003901,              0.0003901
                      7,                 2.8775,                 2.9484,                 2.2311,                0.56724,                0.33801,                0.33077,                0.20205,                 2.8019,                  2.886,                 2.2816,             0.00038812,             0.00038812,             0.00038812
                      8,                 2.8609,                 2.8733,                 2.2116,                0.67051,                0.29905,                0.35081,                0.20809,                 2.7291,                 2.8055,                 2.2482,             0.00038614,             0.00038614,             0.00038614
                      9,                 2.8408,                 2.8101,                  2.204,                0.61921,                 0.3281,                0.34585,                 0.2116,                 2.6973,                 2.8018,                 2.2281,             0.00038416,             0.00038416,             0.00038416
                     10,                 2.8782,                 2.7658,                 2.2106,                0.58283,                0.37914,                0.37903,                 0.2299,                  2.771,                 2.7791,                   2.25,             0.00038218,             0.00038218,             0.00038218
                     11,                  2.792,                 2.6734,                 2.1792,                0.56698,                0.36098,                0.36539,                0.21701,                 2.9128,                 2.8079,                 2.3237,              0.0003802,              0.0003802,              0.0003802
                     12,                  2.839,                 2.6592,                 2.1752,                0.63353,                0.32964,                0.37571,                0.23045,                 2.7302,                 2.7282,                 2.2505,             0.00037822,             0.00037822,             0.00037822
                     13,                 2.7835,                  2.589,                 2.1685,                0.63965,                0.33745,                0.38058,                0.22802,                 2.8395,                 2.7281,                 2.2808,             0.00037624,             0.00037624,             0.00037624
                     14,                  2.774,                 2.5702,                 2.1567,                0.55808,                0.34413,                0.39096,                0.22637,                  2.764,                 2.6641,                 2.2416,             0.00037426,             0.00037426,             0.00037426
                     15,                 2.7377,                 2.5339,                 2.1537,                0.61665,                0.36522,                0.40698,                0.24711,                 2.7882,                 2.5869,                 2.2505,             0.00037228,             0.00037228,             0.00037228
                     16,                 2.7547,                 2.4928,                 2.1462,                0.50352,                0.39465,                0.38002,                0.23232,                 2.7523,                 2.6943,                 2.2641,              0.0003703,              0.0003703,              0.0003703
                     17,                 2.7292,                 2.4631,                 2.1501,                0.55309,                0.35181,                0.37794,                0.22452,                 2.8086,                 2.6871,                 2.2542,             0.00036832,             0.00036832,             0.00036832
                     18,                 2.7149,                 2.4482,                 2.1363,                0.64468,                0.35424,                0.38661,                0.23288,                 2.8401,                 2.6954,                 2.2954,             0.00036634,             0.00036634,             0.00036634
                     19,                 2.6947,                 2.4141,                 2.1344,                 0.5894,                0.38768,                 0.4073,                 0.2543,                 2.7093,                 2.5895,                 2.2323,             0.00036436,             0.00036436,             0.00036436
                     20,                 2.6817,                 2.3687,                  2.113,                 0.6407,                0.39463,                0.41456,                0.25096,                 2.8021,                  2.623,                 2.2556,             0.00036238,             0.00036238,             0.00036238
                     21,                 2.6897,                 2.3612,                 2.1275,                0.56112,                0.38038,                0.39204,                0.23703,                 2.6903,                 2.5833,                 2.2253,              0.0003604,              0.0003604,              0.0003604
                     22,                 2.6976,                 2.3661,                 2.1243,                0.56569,                0.40594,                  0.392,                0.23781,                 2.8172,                 2.6287,                 2.2822,             0.00035842,             0.00035842,             0.00035842
                     23,                 2.6821,                 2.3418,                 2.1078,                0.56715,                0.38003,                 0.4003,                  0.244,                 2.8846,                 2.7179,                 2.2979,             0.00035644,             0.00035644,             0.00035644
                     24,                 2.6842,                 2.2829,                 2.0976,                0.65845,                0.37021,                0.42627,                0.25955,                 2.7718,                 2.6177,                 2.2633,             0.00035446,             0.00035446,             0.00035446
                     25,                 2.6464,                 2.2774,                 2.0958,                0.58755,                0.38545,                0.43103,                0.25847,                 2.8009,                 2.6647,                 2.2663,             0.00035248,             0.00035248,             0.00035248
                     26,                 2.6513,                 2.2785,                 2.0983,                0.62787,                0.35661,                0.41658,                0.24754,                 2.7967,                 2.6399,                 2.2671,              0.0003505,              0.0003505,              0.0003505
                     27,                  2.624,                 2.2175,                 2.0751,                0.58381,                0.36726,                0.42056,                0.24727,                 2.8447,                 2.6553,                 2.2573,             0.00034852,             0.00034852,             0.00034852
                     28,                  2.638,                 2.2254,                 2.0892,                0.61746,                 0.3855,                0.41733,                0.24656,                 2.8023,                 2.6815,                 2.2557,             0.00034654,             0.00034654,             0.00034654
                     29,                 2.6264,                 2.2101,                  2.087,                  0.596,                0.37924,                0.40942,                0.24475,                 2.7702,                 2.7061,                 2.2348,             0.00034456,             0.00034456,             0.00034456
                     30,                 2.6064,                 2.2003,                 2.0795,                0.61221,                0.38167,                0.43239,                0.25596,                 2.7965,                 2.6189,                 2.2512,             0.00034258,             0.00034258,             0.00034258
                     31,                 2.6025,                 2.1798,                 2.0791,                0.60629,                0.41113,                0.45273,                0.24829,                 2.8173,                 2.6233,                 2.2584,              0.0003406,              0.0003406,              0.0003406
                     32,                 2.6086,                 2.1669,                 2.0819,                0.47888,                0.38753,                0.40286,                0.24693,                 2.7317,                 2.5587,                 2.2353,             0.00033862,             0.00033862,             0.00033862
                     33,                 2.5949,                 2.1517,                 2.0732,                0.58814,                0.37363,                0.41983,                0.25442,                 2.8113,                  2.638,                 2.2549,             0.00033664,             0.00033664,             0.00033664
                     34,                 2.5958,                 2.1291,                 2.0668,                0.59694,                0.36832,                 0.4149,                 0.2545,                 2.7643,                 2.5614,                 2.2353,             0.00033466,             0.00033466,             0.00033466
