                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9026,                 5.3792,                 2.2992,                0.47505,                0.25766,                0.22647,                0.13649,                  2.675,                 3.1472,                  2.306,             0.00013254,             0.00013254,             0.00013254
                      2,                  2.878,                 3.3839,                 2.3382,                0.54283,                0.29284,                0.27296,                0.16123,                 2.8283,                 3.0681,                 2.4427,             0.00025334,             0.00025334,             0.00025334
                      3,                 2.9109,                 3.0997,                 2.3726,                0.60701,                0.29905,                0.30061,                0.17816,                 2.7387,                 2.8421,                 2.4589,             0.00036157,             0.00036157,             0.00036157
                      4,                 2.8944,                 2.9445,                 2.3503,                0.61336,                0.32463,                0.31841,                0.18764,                 2.7612,                 2.8644,                 2.4367,             0.00034343,             0.00034343,             0.00034343
                      5,                 2.8621,                 2.8068,                 2.3284,                0.64571,                0.35487,                0.36544,                0.22575,                 2.6904,                 2.6862,                 2.3449,             0.00032457,             0.00032457,             0.00032457
                      6,                 2.8009,                 2.6785,                 2.3069,                0.58951,                0.36931,                0.36077,                0.22241,                 2.7515,                 2.5961,                 2.4032,             0.00030571,             0.00030571,             0.00030571
                      7,                  2.742,                 2.5775,                  2.294,                0.67025,                0.36939,                0.39848,                0.24613,                 2.6536,                  2.586,                 2.3476,             0.00028686,             0.00028686,             0.00028686
                      8,                 2.7119,                  2.498,                 2.2545,                0.66411,                0.36558,                0.38756,                0.24184,                  2.597,                 2.5037,                  2.334,               0.000268,               0.000268,               0.000268
                      9,                 2.6737,                 2.4172,                 2.2464,                0.65328,                 0.3749,                0.41367,                0.25628,                 2.6248,                 2.4321,                 2.3352,             0.00024914,             0.00024914,             0.00024914
                     10,                 2.6999,                 2.3758,                 2.2471,                0.53053,                0.44794,                0.41526,                0.25818,                 2.6613,                 2.4553,                 2.3481,             0.00023029,             0.00023029,             0.00023029
                     11,                 2.6002,                 2.2668,                 2.1969,                0.60895,                0.42713,                 0.4209,                0.25917,                 2.7051,                 2.4173,                 2.3762,             0.00021143,             0.00021143,             0.00021143
                     12,                  2.614,                 2.1796,                 2.2177,                0.60418,                0.42446,                0.43523,                 0.2696,                 2.6589,                 2.4093,                 2.3625,             0.00019257,             0.00019257,             0.00019257
                     13,                  2.574,                 2.1036,                 2.1994,                0.58754,                0.42191,                0.43027,                0.25982,                 2.7081,                 2.3747,                 2.3626,             0.00017371,             0.00017371,             0.00017371
                     14,                 2.5443,                 2.0349,                 2.1719,                0.59003,                0.42078,                0.42523,                0.26096,                 2.6864,                 2.4373,                 2.3654,             0.00015486,             0.00015486,             0.00015486
                     15,                 2.5198,                 1.9883,                 2.1723,                0.56547,                0.44713,                 0.4569,                0.28497,                 2.6695,                 2.3546,                 2.3502,               0.000136,               0.000136,               0.000136
                     16,                 2.4719,                 1.9192,                 2.1441,                0.58915,                0.46097,                0.43801,                0.27183,                 2.6335,                 2.3705,                 2.3344,             0.00011714,             0.00011714,             0.00011714
                     17,                  2.435,                 1.8689,                 2.1249,                0.56561,                0.45981,                0.46461,                0.28542,                  2.636,                 2.3653,                 2.3244,             9.8286e-05,             9.8286e-05,             9.8286e-05
                     18,                 2.4188,                 1.8114,                 2.1113,                0.58328,                0.46124,                0.46358,                0.28494,                  2.625,                 2.3558,                 2.3338,             7.9429e-05,             7.9429e-05,             7.9429e-05
                     19,                 2.3882,                 1.7503,                 2.1036,                0.51855,                0.45955,                0.45276,                0.27606,                 2.6069,                 2.3268,                 2.3239,             6.0571e-05,             6.0571e-05,             6.0571e-05
                     20,                 2.3459,                 1.7116,                 2.0905,                0.45825,                0.44729,                 0.4713,                0.29073,                 2.6204,                 2.3866,                 2.3286,             4.1714e-05,             4.1714e-05,             4.1714e-05
                     21,                 2.3197,                  1.663,                 2.0664,                0.47189,                0.52114,                0.47684,                0.28246,                 2.6529,                 2.3507,                 2.3471,             2.2857e-05,             2.2857e-05,             2.2857e-05
