                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2347,                  8.629,                 2.2826,                0.63867,                0.09249,                0.06336,                 0.0401,                 3.1591,                 5.5954,                 2.2965,             0.00013254,             0.00013254,             0.00013254
                      2,                   3.27,                 6.2362,                 2.3443,                0.44888,                0.11731,                0.09425,                0.05673,                 2.9593,                 4.7341,                 2.3119,             0.00026325,             0.00026325,             0.00026325
                      3,                 3.2083,                 5.4611,                 2.3394,                0.35284,                 0.1494,                 0.1213,                0.07295,                 2.9744,                 4.3288,                 2.3336,             0.00039131,             0.00039131,             0.00039131
                      4,                 3.1854,                 5.0636,                 2.3138,                0.43029,                0.16464,                0.13919,                0.08179,                 3.0225,                 4.1185,                 2.3155,             0.00038812,             0.00038812,             0.00038812
                      5,                   3.18,                 4.7812,                 2.3165,                0.33198,                0.18959,                0.17953,                0.11482,                 2.9321,                 3.8802,                 2.3011,             0.00038416,             0.00038416,             0.00038416
                      6,                  3.145,                 4.5368,                 2.3037,                0.38925,                0.20342,                0.17366,                0.10522,                 2.9254,                 3.7923,                 2.2785,              0.0003802,              0.0003802,              0.0003802
                      7,                  3.085,                 4.3705,                 2.2872,                0.40099,                0.20662,                0.18284,                0.10918,                 3.0158,                 3.7798,                 2.3096,             0.00037624,             0.00037624,             0.00037624
                      8,                 3.0707,                 4.1852,                 2.2664,                0.49231,                0.19644,                0.19587,                0.12002,                 2.8953,                 3.6273,                 2.2851,             0.00037228,             0.00037228,             0.00037228
                      9,                  3.055,                 4.0619,                 2.2709,                0.49314,                0.21931,                0.20368,                0.12259,                 2.8909,                 3.6264,                 2.2803,             0.00036832,             0.00036832,             0.00036832
                     10,                 3.0933,                  3.963,                 2.2721,                0.55466,                0.21429,                0.20907,                0.12659,                  2.918,                 3.4929,                 2.2712,             0.00036436,             0.00036436,             0.00036436
                     11,                 3.0321,                 3.8384,                 2.2531,                0.41735,                0.21488,                0.21187,                0.12666,                 2.9964,                 3.4992,                 2.3211,              0.0003604,              0.0003604,              0.0003604
                     12,                 3.0805,                 3.7853,                 2.2564,                0.49143,                0.21769,                0.21714,                0.13065,                 2.8645,                  3.445,                 2.2572,             0.00035644,             0.00035644,             0.00035644
                     13,                  3.023,                 3.6859,                 2.2501,                0.49559,                0.23859,                 0.2235,                 0.1338,                 2.9471,                 3.4427,                  2.282,             0.00035248,             0.00035248,             0.00035248
                     14,                  3.017,                  3.617,                 2.2319,                0.56171,                0.22952,                0.22949,                0.13605,                 2.8842,                 3.4023,                 2.2724,             0.00034852,             0.00034852,             0.00034852
                     15,                 2.9952,                 3.5428,                 2.2407,                0.49807,                0.24167,                0.23408,                0.13904,                 2.9359,                 3.3687,                 2.2984,             0.00034456,             0.00034456,             0.00034456
                     16,                 3.0089,                 3.5075,                 2.2289,                   0.53,                0.27067,                0.26955,                0.17324,                 2.8804,                 3.4062,                 2.2641,              0.0003406,              0.0003406,              0.0003406
                     17,                 2.9756,                 3.4566,                 2.2275,                0.49755,                0.23375,                0.23953,                 0.1453,                 2.8677,                 3.3333,                 2.2373,             0.00033664,             0.00033664,             0.00033664
                     18,                 2.9694,                 3.4274,                  2.218,                0.52107,                0.26262,                0.25551,                0.15319,                 2.8899,                 3.3634,                 2.2493,             0.00033268,             0.00033268,             0.00033268
                     19,                 2.9487,                 3.3809,                 2.2131,                0.58898,                0.23824,                 0.2514,                 0.1519,                 2.8606,                 3.2428,                 2.2552,             0.00032872,             0.00032872,             0.00032872
                     20,                 2.9485,                 3.3384,                 2.1984,                 0.5887,                0.24696,                0.25792,                0.15681,                 2.8893,                 3.2444,                 2.2423,             0.00032476,             0.00032476,             0.00032476
                     21,                 2.9411,                  3.293,                 2.2051,                0.52163,                0.25651,                0.26227,                0.16064,                 2.8186,                 3.2273,                 2.2075,              0.0003208,              0.0003208,              0.0003208
