                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0976,                 6.7312,                 2.2959,                0.52941,                0.21924,                0.18958,                0.11413,                 2.9018,                 3.6268,                 2.2675,             0.00013254,             0.00013254,             0.00013254
                      2,                 2.9847,                 3.9101,                 2.2794,                0.53986,                0.23604,                0.23013,                0.13125,                 2.7996,                 3.4107,                 2.2847,             0.00025334,             0.00025334,             0.00025334
                      3,                 2.9993,                 3.5122,                 2.2938,                0.44738,                  0.267,                0.25006,                0.14986,                   2.84,                 3.1491,                 2.2937,             0.00036157,             0.00036157,             0.00036157
                      4,                 2.9706,                 3.3135,                 2.2581,                0.60383,                  0.271,                0.27259,                0.15971,                 2.8288,                 3.0709,                 2.2858,             0.00034343,             0.00034343,             0.00034343
                      5,                 2.9567,                 3.1638,                  2.255,                0.57286,                0.29406,                0.29926,                0.17959,                 2.7426,                 3.0196,                 2.2581,             0.00032457,             0.00032457,             0.00032457
                      6,                 2.9176,                 3.0014,                 2.2395,                0.61942,                0.28655,                0.31265,                0.18882,                 2.7303,                 2.8703,                 2.2387,             0.00030571,             0.00030571,             0.00030571
                      7,                 2.8363,                 2.9083,                 2.2092,                0.49308,                0.33014,                 0.3218,                0.19454,                 2.7419,                  2.854,                 2.2432,             0.00028686,             0.00028686,             0.00028686
                      8,                 2.8179,                  2.832,                 2.1888,                0.60746,                0.34866,                0.35038,                 0.2167,                 2.6686,                 2.7772,                 2.2002,               0.000268,               0.000268,               0.000268
                      9,                 2.7801,                 2.7416,                 2.1758,                0.61407,                 0.3342,                0.35903,                0.22366,                  2.685,                 2.7999,                 2.2128,             0.00024914,             0.00024914,             0.00024914
                     10,                 2.8177,                 2.7098,                 2.1748,                0.50504,                0.39175,                0.37834,                0.22991,                 2.6705,                 2.7379,                 2.2116,             0.00023029,             0.00023029,             0.00023029
                     11,                 2.7306,                 2.6028,                 2.1442,                0.45626,                0.36898,                0.36308,                0.21392,                 2.8598,                  2.716,                  2.262,             0.00021143,             0.00021143,             0.00021143
                     12,                 2.7931,                 2.6421,                 2.1682,                0.47752,                0.32965,                0.32922,                0.20053,                 2.8115,                 2.8865,                 2.2578,             0.00019257,             0.00019257,             0.00019257
                     13,                 2.7431,                 2.5333,                 2.1435,                0.49536,                0.32796,                0.34869,                0.20935,                 2.7601,                 2.7341,                 2.2216,             0.00017371,             0.00017371,             0.00017371
                     14,                 2.7109,                  2.457,                 2.1331,                0.49157,                 0.3865,                0.34638,                0.20786,                 2.7916,                 2.8257,                 2.2549,             0.00015486,             0.00015486,             0.00015486
                     15,                 2.6951,                 2.4103,                 2.1226,                0.54127,                0.34353,                0.35976,                0.22598,                 2.7361,                  2.762,                 2.2276,               0.000136,               0.000136,               0.000136
